"source","rank.set.level","no.estimates","mean.percent.error","abs.mean.percent.error","mean.abs.per.error","max.abs.per.error","root.mean.sqrd.error","no.abs.error.over.5","percent.abs.error.over.5","mean.abs.scaled.error","r.correlation","real.CV","fit.CV","mean.CV","rel.abs.MPE","rel.MAPE","rel.RMSE","rel.MASE","rel.cor","rel.over.5","rel.sum","rel.sumMASE","rel.sumRed","rel.sum.5","sys.meth.set","rank.filter","rank.method","rank.set","special.level"
"All_ROM_Gen_Model",1,27,0.123698584650226,0.123698584650226,0.294044859382933,0.982374199542917,38304.7750275546,5,0.185185185185185,1.18210289039294,0.748213497720345,0.3,3.5,3.5,0.260930433034561,0.210491464283495,0.25347432444722,0.1668963374024,0.434923542854926,0.3,0.289954941155051,0.26534322040452,0.241632073921759,0.29196395292404,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"All_ROM_Size_Model",3,27,0.0538091059388918,0.0538091059388918,0.278464849555161,0.876663489299633,36383.4203335822,3,0.111111111111111,1.13558576634539,0.739017793045913,0.3,3.1,3.1,0.0733176358149569,0.137429518176507,0.178820388970472,0.108457299785761,0.760135255112343,0.1,0.28742569951857,0.251632019572008,0.129855847653979,0.249940559614856,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"Inverse_SM_Both_Data_Model",2,27,0.214382738895715,0.214382738895715,0.340069507132396,1.17452339315709,44152.4279730018,8,0.296296296296296,1.37759763744842,0.745034048259916,3.2,37.4,37.4,0.50436489778084,0.42632254338013,0.480683963068014,0.412494600643122,0.547366714930371,0.6,0.489684529789839,0.474246543960495,0.470457134742994,0.511747623831871,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"Inverse_SM_Ground_Data_Model",2,27,0.0264968360756749,0.0264968360756749,0.26568920347871,0.793091972751275,35029.9145918645,2,0.0740740740740741,1.09228511276127,0.741439429793684,2.4,27.2,27.2,0,0.0775185440861231,0.126230135527627,0.054059084602875,0.674492592468153,0,0.219560318020476,0.186460071336956,0.0679162265379169,0.175648254416381,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"SM_Data_Model",2,27,0.0346868020569707,0.0346868020569707,0.249158851591725,0.731061458565882,34445.3678137829,2,0.0740740740740741,1.06304173000116,0.735685424619422,0.5,5.1,5.1,0.0219853181797322,0,0.103517662088473,0.0173208902250579,0.877986499820655,0,0.250872370022215,0.204162074062784,0.0418343267560683,0.200697896017772,"03_Size_Specific - Medium - Ground","Medium","Ground","03_Size_Specific",3
"All_Clarity_Model",1,38,0.118735508352549,0.118735508352549,0.294931796604105,1.2246256987058,38538.2058224369,6,0.157894736842105,0.781846500820692,0.797698234049385,0.9,9.7,9.7,0.23250770163633,0.0400388454999907,0.0548790340476318,0.00933758469375753,0.22769582232701,0,0.138780350877741,0.112891797640944,0.109141860394651,0.111024280702193,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"All_Minimal_Model",1,38,0.0418407573202993,0.0418407573202993,0.28653928956095,1.10187541918197,36084.1024025965,7,0.184210526315789,0.774841368541481,0.821440045367409,0.8,8.2,8.2,0,0,0,0,0,0.125,0,0,0,0.025,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"All_ROM_Agg_Model",2,38,0.113205241732336,0.113205241732336,0.370346803828103,2.12048758574269,56041.3042388905,10,0.263157894736842,1.09166510307906,0.781444949172446,0.4,4.3,4.3,0.215785759448591,0.399827619831164,0.446285983799595,0.422314431237305,0.383572937851057,0.5,0.361368075232602,0.373557346433543,0.353966454359784,0.389094460186082,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"All_ROM_GenB_Model",1,38,0.058650859210533,0.058650859210533,0.347477714446684,1.88614818666193,50443.1652145809,7,0.184210526315789,1.01179322335276,0.79076506884018,0.5,5.6,5.6,0.0508289330845425,0.290724114554399,0.321099547223733,0.31584814168454,0.294188337682839,0.125,0.239210233136378,0.254537814846011,0.220884198287558,0.216368186509103,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"All_ROM_Gen_Model",1,38,0.372559914109875,0.372559914109875,0.496148406366193,2.91812718492134,80802.5174116946,14,0.368421052631579,1.5250495336031,0.783687453248975,0.6,6.6,6.6,1,1,1,1,0.362066204310921,1,0.84051655107773,0.872413240862184,1,0.872413240862184,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"All_ROM_Size_Model",3,38,0.102903262636323,0.102903262636323,0.367272667037586,2.0896491050576,55248.7737435288,9,0.236842105263158,1.08101886228937,0.781261225229561,0.4,4.3,4.3,0.184635525528011,0.385161574587657,0.428563296284834,0.408123382291822,0.385334942177349,0.375,0.345923834644463,0.358363744173935,0.332786798800167,0.35173906771557,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"Inverse_SM_Aerial_Data_Model",2,38,0.099339761189993,0.099339761189993,0.344964107175902,1.78948113361965,48931.9405370142,6,0.157894736842105,0.987074984897658,0.777052252406029,3.8,43,43,0.173860517872202,0.278732235054627,0.287305311062651,0.282899635381528,0.425701092652085,0,0.291399789160391,0.289699758404619,0.246632687996493,0.233119831328313,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"Inverse_SM_Both_Data_Model",2,38,-0.0804264040093971,0.0804264040093971,0.336704017291544,1.52157544831006,44365.5751001899,6,0.157894736842105,0.958532475353343,0.785282258430756,3.4,37.2,37.2,0.116671943239286,0.239325123330416,0.185191552426633,0.244853515819538,0.346771226499295,0,0.221989961373907,0.226562672263034,0.180396206332112,0.177591969099126,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"SM_Data_Model",2,38,0.0848067552070644,0.0848067552070644,0.296618763788242,1.15863874613375,44215.7756291304,6,0.157894736842105,0.834012451266343,0.717170186239618,1,11.1,11.1,0.129916870567322,0.0480870029935633,0.181841713863952,0.0788728855277152,1,0,0.339961396856209,0.28774369459051,0.119948529141612,0.271969117484967,"03_Size_Specific - Medium - Aerial","Medium","Aerial","03_Size_Specific",3
"All_Clarity_Model",1,7,0.176528151144757,0.176528151144757,0.376531882571647,1.23809512712725,91383.2557494753,1,0.142857142857143,0.645437656487603,0.939775846056323,1.2,15.6,15.6,0.483641557195113,0.779927884224286,0.202508757546639,0.278763101740978,0.9716104377188,0,0.609422159171209,0.543290347685163,0.488692732988679,0.487537727336968,"03_Size_Specific - Large - Ground","Large","Ground","03_Size_Specific",3
"All_Minimal_Model",1,7,0.273901220449726,0.273901220449726,0.400524359342247,1.70056974960488,79532.0301385964,1,0.142857142857143,0.564696896201041,0.941856363562898,1.3,16.2,16.2,0.976487183998664,1,0,0,0.677169114724489,0,0.663414074680788,0.53073125974463,0.658829061332888,0.53073125974463,"03_Size_Specific - Large - Ground","Large","Ground","03_Size_Specific",3
"All_ROM_GenB_Model",1,7,-0.0809735589838042,0.0809735589838042,0.291503383713276,0.68502421956404,137383.612468896,1,0.142857142857143,0.796466745385723,0.93957524587993,0.5,5.6,5.6,0,0,0.988543501278205,0.800201556431391,1,0,0.497135875319551,0.557749011541919,0.329514500426068,0.397708700255641,"03_Size_Specific - Large - Ground","Large","Ground","03_Size_Specific",3
"All_ROM_Gen_Model",1,7,-0.278546721875603,0.278546721875603,0.312707452263717,0.745019021905833,104644.646303648,2,0.285714285714286,0.686865650583998,0.940484688532398,0.3,3.4,3.4,1,0.19449531090791,0.429113820401992,0.421796138490077,0.871292840875501,1,0.623725493046351,0.583339622135096,0.541203043769968,0.698980394437081,"03_Size_Specific - Large - Ground","Large","Ground","03_Size_Specific",3
"Inverse_LXL_Both_Data_Model",2,7,0.132090571108155,0.132090571108155,0.340343711473363,0.556003157284515,138054.070145432,1,0.142857142857143,0.854336234342661,0.946641229300384,4.7,65.1,65.1,0.258724471361251,0.447990191596748,1,1,0,0,0.4266786657395,0.5413429325916,0.568904887652666,0.3413429325916,"03_Size_Specific - Large - Ground","Large","Ground","03_Size_Specific",3
"All_Clarity_Model",1,27,0.25070075383101,0.25070075383101,0.552330990956536,2.2144453463363,65072.6639412272,8,0.296296296296296,0.948236354366075,0.865289603380566,1.1,12.4,12.4,0.524457324496344,0.243239306877147,0.0387910147348227,0.0450750159978955,1,0.0909090909090909,0.451621911527078,0.370312532421242,0.268829215369438,0.379479347403481,"03_Size_Specific - X-Large - Aerial","X-Large","Aerial","03_Size_Specific",3
"All_Minimal_Model",1,27,0.242957262287816,0.242957262287816,0.524157268911912,2.42025025262917,62919.9543016781,7,0.259259259259259,0.876380920652864,0.874904345001829,1,12,12,0.503548548385087,0.1703993660718,0.0300818960102737,0.00969394967984575,0.827152523411184,0,0.382795583469586,0.308175256711638,0.234676603489054,0.306236466775669,"03_Size_Specific - X-Large - Aerial","X-Large","Aerial","03_Size_Specific",3
"All_ROM_Agg_Model",2,27,0.426816307730318,0.426816307730318,0.845038057802141,2.66249455027393,302663.161171329,18,0.666666666666667,2.88759420956014,0.908356955375664,0.7,8.1,8.1,1,1,1,1,0.225763581701149,1,0.806440895425287,0.84515271634023,1,0.84515271634023,"03_Size_Specific - X-Large - Aerial","X-Large","Aerial","03_Size_Specific",3
